Self Service,Interactivity,Embeddability,Collaboration,Data Preparation,Data Governance
4.5,4.2,4,3.4,4.4,3.75
4.62,4.88,4.43,3.86,4,3.86
3.89,4,3.11,3.67,0,0
5,5,4.5,4,0,0
4.67,4.5,3.17,3.67,0,3.83
